arm,metric,original,rewrites,diff,ci_lo,ci_hi,p,p_method,n_groups
qwen3_8_27b__production,status simulator_calibrated,0.9629629629629629,0.9629629629629631,6.1679056923619804e-18,-0.09259259259259259,0.10185185185185186,1.0,exact,18
qwen3_8_27b__semantic,severity accuracy,0.7222222222222222,0.9444444444444444,0.2222222222222222,0.05555555555555555,0.4027777777777778,0.0625,exact,18
qwen3_8_27b__semantic,status turbofan,0.7592592592592592,0.875,0.11574074074074076,-0.08333333333333333,0.3055555555555556,0.34375,exact,18
qwen3_8_27b__semantic,status simulator,0.6666666666666666,0.7083333333333334,0.04166666666666666,-0.19444444444444445,0.2638888888888889,0.71875,exact,18
qwen3_8_27b__semantic,status simulator_calibrated,0.7777777777777778,0.9398148148148147,0.16203703703703703,0.037037037037037035,0.3195601851851835,0.125,exact,18
tfidf_logreg,severity accuracy,1.0,0.4027777777777778,-0.5972222222222222,-0.7222222222222222,-0.4722222222222222,1.52587890625e-05,exact,18
tfidf_logreg,status turbofan,1.0,0.6111111111111112,-0.3888888888888889,-0.5277777777777778,-0.2638888888888889,0.0001220703125,exact,18
tfidf_logreg,status simulator,1.0,0.6111111111111112,-0.3888888888888889,-0.5277777777777778,-0.2638888888888889,0.0001220703125,exact,18
tfidf_logreg,status simulator_calibrated,1.0,0.6111111111111112,-0.3888888888888889,-0.5277777777777778,-0.2638888888888889,0.0001220703125,exact,18
tfidf_logreg_indomain,severity accuracy,0.9444444444444444,0.8333333333333334,-0.1111111111111111,-0.2361111111111111,0.027777777777777776,0.19921875,exact,18
tfidf_logreg_indomain,status turbofan,0.9444444444444444,0.9444444444444444,0.0,-0.1111111111111111,0.1388888888888889,1.0,exact,18
tfidf_logreg_indomain,status simulator,0.9444444444444444,0.9398148148148147,-0.004629629629629632,-0.1111111111111111,0.1388888888888889,1.0,exact,18
tfidf_logreg_indomain,status simulator_calibrated,0.9444444444444444,0.9398148148148147,-0.004629629629629632,-0.1111111111111111,0.125,1.0,exact,18
