arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
qwen3_4b__production,turbofan,all,0.8185185185185185,0.8444444444444444,0.025925925925925925,0.0,0.06296296296296296,0.25,exact,18
qwen3_8_27b__production,simulator,all,0.837037037037037,0.9962962962962963,0.15925925925925927,0.03333333333333334,0.3259259259259259,0.03125,exact,18
qwen3_8_27b__production,simulator_calibrated,all,0.9629629629629629,0.9962962962962963,0.03333333333333334,0.0,0.08518518518518518,0.25,exact,18
qwen3_8_27b__production,turbofan,all,0.9592592592592593,1.0,0.040740740740740744,0.0,0.1111111111111111,0.5,exact,18
qwen3_8_27b__semantic,simulator,all,0.7,0.9074074074074074,0.20740740740740737,0.05185185185185185,0.39999999999999997,0.0625,exact,18
qwen3_8_27b__semantic,simulator_calibrated,all,0.9074074074074074,0.9074074074074074,0.0,0.0,0.0,1.0,exact,18
qwen3_8_27b__semantic,turbofan,all,0.8518518518518519,0.9111111111111111,0.05925925925925926,0.0,0.15555555555555556,0.25,exact,18
tfidf_logreg,simulator,all,0.6888888888888889,0.6888888888888889,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg,simulator_calibrated,all,0.6888888888888889,0.6888888888888889,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg,turbofan,all,0.6888888888888889,0.6888888888888889,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,simulator,all,0.9407407407407408,0.9407407407407408,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,simulator_calibrated,all,0.9407407407407408,0.9407407407407408,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,turbofan,all,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg,simulator,unfamiliar,0.9120370370370371,0.9120370370370371,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg,simulator_calibrated,unfamiliar,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg,turbofan,unfamiliar,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,simulator,unfamiliar,0.9675925925925926,0.9675925925925926,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,simulator_calibrated,unfamiliar,0.9675925925925926,0.9675925925925926,0.0,0.0,0.0,1.0,exact,18
bge_m3_logreg_indomain,turbofan,unfamiliar,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,1.0,exact,18
embedding_severity,simulator,unfamiliar,0.8564814814814815,0.8564814814814815,0.0,0.0,0.0,1.0,exact,18
embedding_severity,simulator_calibrated,unfamiliar,0.8611111111111112,0.8611111111111112,0.0,0.0,0.0,1.0,exact,18
embedding_severity,turbofan,unfamiliar,0.875,0.875,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,simulator,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
fixed_midrange,simulator_calibrated,unfamiliar,0.625,0.6574074074074074,0.032407407407407406,0.004629629629629629,0.06944444444444443,0.125,exact,18
fixed_midrange,turbofan,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,18
gemini_2_5_flash__production,simulator,unfamiliar,0.7962962962962963,0.9953703703703703,0.19907407407407407,0.05555555555555555,0.37962962962962954,0.03125,exact,18
gemini_2_5_flash__production,simulator_calibrated,unfamiliar,0.9814814814814815,0.9953703703703703,0.013888888888888888,0.0,0.037037037037037035,0.5,exact,18
gemini_2_5_flash__production,turbofan,unfamiliar,0.9537037037037037,1.0,0.0462962962962963,0.0,0.1111111111111111,0.25,exact,18
gemini_2_5_flash__semantic,simulator,unfamiliar,0.7916666666666666,0.9537037037037037,0.16203703703703706,0.027777777777777776,0.3333333333333333,0.0625,exact,18
gemini_2_5_flash__semantic,simulator_calibrated,unfamiliar,0.9351851851851852,0.9537037037037037,0.018518518518518517,0.0,0.041666666666666664,0.25,exact,18
gemini_2_5_flash__semantic,turbofan,unfamiliar,0.8703703703703703,0.9583333333333334,0.08796296296296297,0.009259259259259259,0.21296296296296294,0.125,exact,18
gemini_2_5_flash_nothink__production,simulator,unfamiliar,0.8518518518518519,0.9814814814814815,0.12962962962962962,0.004629629629629631,0.29629629629629634,0.125,exact,18
gemini_2_5_flash_nothink__production,simulator_calibrated,unfamiliar,0.9629629629629629,0.9814814814814815,0.018518518518518517,0.0,0.041666666666666664,0.25,exact,18
gemini_2_5_flash_nothink__production,turbofan,unfamiliar,0.9490740740740741,0.9861111111111112,0.03703703703703704,0.0,0.09722222222222222,0.25,exact,18
gemini_3_5_flash__production,simulator,unfamiliar,0.8009259259259259,0.9953703703703703,0.19444444444444442,0.04629629629629629,0.3796296296296296,0.0625,exact,18
gemini_3_5_flash__production,simulator_calibrated,unfamiliar,0.9768518518518519,0.9953703703703703,0.018518518518518517,0.0,0.041666666666666664,0.25,exact,18
